prdContent,userName
"# Love Nest アプリのiPhone向けホテル詳細画面デザインプロンプト

以下の仕様に基づいて、「Love Nest」アプリのiPhone向けホテル詳細画面のデザインを作成してください。この画面はスクロール可能です。

## キャンバスサイズ
- 幅: 375ピクセル (iPhone 12/13/14の標準サイズ)
- 高さ: 812ピクセル (iPhone 12/13/14の標準サイズ)
- スクロール可能な内容のため、実際の高さは812ピクセルを超える

## 全体的なレイアウト
- 背景色: 黒(#000000)
- セーフエリアを考慮したデザイン
- コンテンツは垂直方向にスクロール可能

## ステータスバー
- 高さ: 44ピクセル
- 時刻: 9:41, 左上に配置, 白色(#FFFFFF)
- バッテリー、Wi-Fi、電波強度アイコン: 右上に配置, 白色(#FFFFFF)

## ナビゲーションバー
- 高さ: 44ピクセル
- 背景色: 黒(#000000)
- 左側: 戻るアイコン (<), 白色(#FFFFFF)
- 中央: ""ホテルA"", 白色(#FFFFFF), 18pt, 太字
- 右側: ブックマークアイコン, 白色(#FFFFFF)

## ホテル画像スライダー
- 高さ: 200ピクセル
- 幅: 画面幅の100%
- 画像下部にページインジケーター (・・・・・)

## ホテルの詳細セクション
- タイトル: ""ホテルの詳細"", 白色(#FFFFFF), 20pt, 太字
- 説明文: 白色(#FFFFFF), 14pt
- 背景: ダークグレー(#222222)
- パディング: 15ピクセル

## アイコンセクション
- 2x2グリッドレイアウト
- 各アイコン:
  - サイズ: 60x60ピクセル
  - 背景: ダークグレー(#333333)
  - アイコン色: 白色(#FFFFFF)
  - テキスト: 白色(#FFFFFF), 12pt
- アイコン内容:
  1. アクセス（位置アイコン）: ""新宿駅から徒歩5分""
  2. 禁煙（禁煙アイコン）: ""全室禁煙""
  3. 無料Wi-Fi（Wi-Fiアイコン）: ""無料Wi-Fi完備""
  4. 駐車場（駐車場アイコン）: ""駐車場有""

## 地図セクション
- タイトル: ""地図"", 白色(#FFFFFF), 18pt, 太字
- 地図プレースホルダー: 高さ150ピクセル, 幅100%, グレー背景(#444444)

## 口コミセクション
- タイトル: ""口コミ"", 白色(#FFFFFF), 18pt, 太字
- 各口コミ:
  - ユーザーアイコン: 円形, 直径40ピクセル, グレー背景(#666666)
  - ユーザー情報: 年齢, 性別, 白色(#FFFFFF), 14pt
  - 評価: 星5つ, 黄色(#FFD700)
  - 日付: グレー(#999999), 12pt
  - コメント: 白色(#FFFFFF), 14pt
  - いいねボタン: 親指アップアイコン, 数字, 白色(#FFFFFF)
  - よくないねボタン: 親指ダウンアイコン, 数字, 白色(#FFFFFF)

## 予約ボタン
- 幅: 画面幅の90%
- 高さ: 50ピクセル
- 背景色: 青(#4169E1)
- テキスト: ""+ 予約する"", 白色(#FFFFFF), 18pt, 太字
- 角丸: 25ピクセル
- 画面最下部に固定（スクロールしても常に表示）

## フォント
- システムフォント（San Francisco）を使用
- サイズ:
  - 大見出し: 20pt
  - 中見出し: 18pt
  - 本文: 14pt
  - 小テキスト: 12pt

## スクロール動作
- コンテンツ全体が垂直方向にスムーズにスクロール
- 予約ボタンは画面下部に固定されたまま

",C0B23058
travel website designs,Dmitriy Bunin
"Yancy Min | 杨森茗

Edit profile

profile photo
Yancy Min | 杨森茗
Head of Design in China

yancymin.design

About
我是一名热爱网页、人机界面与交互设计的设计师，5 年从业经验。
至今在三家公司担任设计师，参与设计系统搭建、官网设计、设计资产管理和设计团队组建等工作。

在工作中，我致力于 Design & Code 的结合。在更清晰地理解到设计与编程的共通关系后，使我想追求的不再是随意地创造设计形态，而是更期望自己能搭建这两者之间的桥梁，迸发更大的创意和价值。

Projects
Ongoing
Figma 中文社区 at Figma.Cool﻿
国内推广 Figma 的组织，这里有我们开发的 Figma 工具箱、设计资源精选、插件合集和 Figma 官方文档。

Ongoing
Figma Box at Figma.Cool﻿
为 Figma 制作实用、快捷的拓展工具，让设计更得心应手。包含官方客户端下载、一键客户端汉化、快速启动插件和客户端暗黑模式。

Ongoing
Webs.Video﻿
500+ 优秀网页交互录屏收集

2021
Figma.Cool 赞助计划 at Figma.Cool﻿
2021
Design System at ByteDance
ByteDance 内部使用量最大的企业级设计系统。

2021
大力教育集团官网 at ByteDance﻿
大力教育是字节跳动旗下的独立品牌。

2021
火山引擎官网 2.0 改版 at ByteDance﻿
火山引擎是字节跳动旗下数字服务与智能科技品牌。

2019
GEE-UI Design System at Geetest﻿
Geetest 第一个成型的内部设计系统，包含了 Web UI 组件、视觉样式和设计准则等。

Work Experience
2021 — Now
Head of Design at Js.Design 即时设计﻿
Beijing, China
2019 — Now
Co-funder at Figma.Cool﻿
Remote
Figma.Cool 是一个致力于在中国推广 Figma 的组织。2020 年 6 月上线以来，58,895 位设计师、开发工程师、产品经理安装了我们的 Figma 汉化，每天有大约 300 人安装和平均超过 1,200 人在使用我们开发的插件，13 款插件安装总量：35,389。

2020 — 2021
产品设计师 at ByteDance﻿
Beijing, China
主导构建字节内部中后台使用量最大的企业级设计系统，整体体量对标 Ant Design。66+ 个组件覆盖 React、Vue、Flutter Web 三大框架，包含最佳实践、图标/图表/插画库、设计系统构建平台、物料平台等丰富的周边生态产品，打造完善的企业级中后台产品解决方案。

负责火山引擎（对标阿里云）官网 2.0 改版设计、字节跳动大力教育集团官网设计。

2017 — 2020
UI 设计师 at Geetest﻿
Wuhan, China
建立公司首个成形且落地的 Design System（包含 Style Guide，Figma Library，23 个组件类型和数据图表优化）。同时主导 2017、2018 年公司官网设计（包含海外版)。

设计部于 2018 年组建极验设计用户体验中心（GEE Design），负责 geetest.design 页面设计和前端开发。2018 年访问量：35,770，访问用户数：13,280。

2016 — 2016
UI & 视觉设计师 at Meetin
Chengdu, China
设计会务 SaaS 后台管理系统，完成 UI 视觉规范提高后台系统一致性。同时负责运营及公司品牌类视觉设计。

Education
2012 — 2016
学士学位 at 四川大学锦江学院艺术设计
四川
Contact
WeChat
yancy_min﻿
Email
me@yancymin.design﻿
Figma
yancymin﻿
Twitter
yancymin﻿
Instagram
yancymin﻿
GitHub
yancymin﻿
CodePen
yancy﻿
Dribbble
yancymin﻿
Website
yancymin.design﻿
",Yancy Min
twitter's 8 pages,Yancy Min
"Document (PRD):
### 1. Introduction
This product is an online shopping platform designed to provide users with a convenient shopping experience. Users can browse and search for products, add items to their shopping cart and proceed with checkout, manage their personal accounts and orders, and obtain customer support.
### 2. Objectives
- To offer a convenient and efficient shopping experience
- To support multiple payment methods
- To provide comprehensive user account management and order tracking features
- To enhance user satisfaction through customer support
### 3. User Needs
- Users need to easily find desired products.
- Users need to complete the checkout process quickly and conveniently.
- Users need to view and manage their personal orders and account information.
- Users need timely customer support when encountering issues.
### 4. Functional Requirements
#### 4.1 Product Browsing and Search
- **Product Category Browsing:** Users can browse products by categories.
- **Search Functionality:** Users can search for products using keywords.
- **Product Detail Page:** Provides detailed product information, including images, prices, descriptions, and reviews.
#### 4.2 Shopping Cart and Checkout
- **Shopping Cart Management:** Users can add items to the shopping cart, modify item quantities, or remove items.
- **Checkout Process:** Users can review their shopping cart, select delivery addresses, and choose payment methods to complete the purchase.
- **Payment Methods:** Supports multiple payment methods such as credit cards, debit cards, PayPal, etc.",社电技术1-T
"Edit profile

Yancy Min | 杨森茗
Head of Design in China
yancymin.design
About
我是一名热爱网页、人机界面与交互设计的设计师，5 年从业经验。
至今在三家公司担任设计师，参与设计系统搭建、官网设计、设计资产管理和设计团队组建等工作。
在工作中，我致力于 Design & Code 的结合。在更清晰地理解到设计与编程的共通关系后，使我想追求的不再是随意地创造设计形态，而是更期望自己能搭建这两者之间的桥梁，迸发更大的创意和价值。
Projects
Ongoing
Figma 中文社区 at Figma.Cool﻿
国内推广 Figma 的组织，这里有我们开发的 Figma 工具箱、设计资源精选、插件合集和 Figma 官方文档。
Ongoing
Figma Box at Figma.Cool﻿
为 Figma 制作实用、快捷的拓展工具，让设计更得心应手。包含官方客户端下载、一键客户端汉化、快速启动插件和客户端暗黑模式。
Ongoing
Webs.Video﻿
500+ 优秀网页交互录屏收集
2021
Figma.Cool 赞助计划 at Figma.Cool﻿
2021
Design System at ByteDance
ByteDance 内部使用量最大的企业级设计系统。
2021
大力教育集团官网 at ByteDance﻿
大力教育是字节跳动旗下的独立品牌。
2021
火山引擎官网 2.0 改版 at ByteDance﻿
火山引擎是字节跳动旗下数字服务与智能科技品牌。
2019
GEE-UI Design System at Geetest﻿
Geetest 第一个成型的内部设计系统，包含了 Web UI 组件、视觉样式和设计准则等。
Work Experience
2021 — Now
Head of Design at Js.Design 即时设计﻿
Beijing, China
2019 — Now
Co-funder at Figma.Cool﻿
Remote
Figma.Cool 是一个致力于在中国推广 Figma 的组织。2020 年 6 月上线以来，58,895 位设计师、开发工程师、产品经理安装了我们的 Figma 汉化，每天有大约 300 人安装和平均超过 1,200 人在使用我们开发的插件，13 款插件安装总量：35,389。
2020 — 2021
产品设计师 at ByteDance﻿
Beijing, China
主导构建字节内部中后台使用量最大的企业级设计系统，整体体量对标 Ant Design。66+ 个组件覆盖 React、Vue、Flutter Web 三大框架，包含最佳实践、图标/图表/插画库、设计系统构建平台、物料平台等丰富的周边生态产品，打造完善的企业级中后台产品解决方案。
负责火山引擎（对标阿里云）官网 2.0 改版设计、字节跳动大力教育集团官网设计。
2017 — 2020
UI 设计师 at Geetest﻿
Wuhan, China
建立公司首个成形且落地的 Design System（包含 Style Guide，Figma Library，23 个组件类型和数据图表优化）。同时主导 2017、2018 年公司官网设计（包含海外版)。
设计部于 2018 年组建极验设计用户体验中心（GEE Design），负责 geetest.design 页面设计和前端开发。2018 年访问量：35,770，访问用户数：13,280。
2016 — 2016
UI & 视觉设计师 at Meetin
Chengdu, China
设计会务 SaaS 后台管理系统，完成 UI 视觉规范提高后台系统一致性。同时负责运营及公司品牌类视觉设计。
Education
2012 — 2016
学士学位 at 四川大学锦江学院艺术设计
四川
Contact
WeChat
yancy_min﻿
Email
me@yancymin.design﻿
Figma
yancymin﻿
Twitter
yancymin﻿
Instagram
yancymin﻿
GitHub
yancymin﻿
CodePen
yancy﻿
Dribbble
yancymin﻿",Ugic
"このアプリはゴルフの打ちっぱなし(練習)の記録ができるサービスです
マテリアルデザインで作成してください

- **打ちっ放しの記録**
    - 打った球数
    - 練習場の情報
    - 料金
        - 1球あたりの価格
        - 打席料金
        - 1回あたりの価格
            - 練習場が登録されていればそこから設定可能
    - メモ
        - なんでも書ける
- **練習場の登録**
    - 名前
    - 住所
    - サイトURL
    - 料金 (複数登録可)
        - 1球あたりの価格
        - 打席料金
            - 複数登録可能
- **打ちっ放しの記録の一覧画面**
    - 月別で記録のリストが表示される
    - 記録の一つを押すと、記録の詳細を確認できる
        - この画面にSNS共有ボタンを表示
- **分析機能**
    - 月ごとの練習回数、球数、費用を表示
        - 前月比は不要
    - 練習にかかる総費用の管理や、過去の費用との比較
- 通知機能
    - リマインダー
        - 一定期間登録されていなければ通知を飛ばす
- **共有機能**
    - SNSシェア機能
- **設定**
    - ログイン機能
        - 非ログイン時: googleログインボタン
        - ログイン時: ログイン済みと表示
    - オープンソースライセンス
    - 利用規約
    - お問い合わせ

### 画面構成
- ホーム
- 記録一覧
- 練習場登録
- 設定",谷川廉
fitness app: 5pages,Yancy Min
"Document (PRD):
### 1. Introduction
This product is an online shopping platform designed to provide users with a convenient shopping experience. Users can browse and search for products, add items to their shopping cart and proceed with checkout, manage their personal accounts and orders, and obtain customer support.
### 2. Objectives
- To offer a convenient and efficient shopping experience
- To support multiple payment methods
- To provide comprehensive user account management and order tracking features
- To enhance user satisfaction through customer support
### 3. User Needs
- Users need to easily find desired products.
- Users need to complete the checkout process quickly and conveniently.
- Users need to view and manage their personal orders and account information.
- Users need timely customer support when encountering issues.
### 4. Functional Requirements
#### 4.1 Product Browsing and Search
- **Product Category Browsing:** Users can browse products by categories.
- **Search Functionality:** Users can search for products using keywords.
- **Product Detail Page:** Provides detailed product information, including images, prices, descriptions, and reviews.
#### 4.2 Shopping Cart and Checkout
- **Shopping Cart Management:** Users can add items to the shopping cart, modify item quantities, or remove items.
- **Checkout Process:** Users can review their shopping cart, select delivery addresses, and choose payment methods to complete the purchase.
- **Payment Methods:** Supports multiple payment methods such as credit cards, debit cards, PayPal, etc.",Da Bin Bae
"下記6つの画面をデザインしてください。なおこれらは法人向けの業務システムです。

1. ホーム画面（ダッシュボード）
概要: 全体状況の把握とアラート通知の確認を行う画面。

アラート通知パネル: 緊急事態や重要な更新情報をリアルタイムで表示。要素：アラートタイトル（例：納期遅延、在庫不足）、発生日時、詳細リンク。
需要予測パネル: Kinaxis（SCP）から取得した資材需要予測データを表示。要素：予測期間、資材ごとの需要予測量、予測グラフ。
在庫情報パネル: SAP（ERP）から取得したリアルタイムの在庫情報を表示。要素：総在庫レベル、各資材の在庫レベル。
KPIサマリパネル: 主要なKPIをグラフやチャートで表示。要素：利益率、リードタイム、供給安定性、在庫回転率。
タスクリストパネル: 発注計画や対応タスクをリスト形式で表示。要素：タスクタイトル、タスクステータス、トリガーリンク。

2. 発注画面
概要: サプライヤーへの発注と納期確認を行う画面。

発注情報入力パネル: 発注情報の入力と発注書の生成。要素：資材名、発注数量、希望納期、発注書生成ボタン。
発注ステータスパネル: EDIシステムとの連携でサプライヤーからの受領確認と納期回答を表示。要素：発注ステータス、受領確認、納期回答。
タスクリストパネル: 発注完了後の追加タスクを表示。要素：タスクタイトル、タスクステータス。

3. 詳細分析画面
概要: データ収集と影響範囲を評価する画面。

データソースパネル: 各データソース（SAP、Kinaxis、mcframe、PLM）の最新データ収集状況を表示。要素：データソース名、収集ステータス、タイムスタンプ。
影響範囲パネル（KPIツリー）: KPIツリーを視覚的に表示し、納期遅延が各KPIにどの程度影響を与えるかを明示。要素：トップKPI、中間KPI、詳細KPI。
データドリルダウンパネル: 影響を受ける具体的なオーダーや生産計画の詳細を表示。要素：オーダーID、生産スケジュール変更、在庫レベル変動。

4. シミュレーション画面
概要: シミュレーションを実行し、最適な対策を決定する画面。

シミュレーション選択パネル: 緊急調達、内部再配置、生産スケジュールの変更などのシナリオを選択。要素：シナリオ選択ボタン。
シミュレーション結果パネル: 各シナリオの予測結果を表示し、KPI、コスト、キャッシュフローへの影響を評価。要素：コスト増減、リードタイムの影響、キャッシュフローの変動。
シナリオ比較パネル: 複数のシナリオを比較し、最適なアクションを図表で表示。要素：シナリオ1、シナリオ2の比較グラフ。

5. 実行と通知画面
概要: 最適なアクションの実行と関係先への通知を行う画面。

アクション選択パネル: 推奨アクション（例：緊急調達、内部再配置など）を表示し、ユーザーが選択可能。要素：アクション選択ボタン。
実行ステータスパネル: 選択したアクションの実行状況をリアルタイムで表示。要素：実行状況（成功/失敗）、詳細情報。
通知パネル: 自動通知された内容と送信先を表示。要素：通知内容、通知先、送信ステータス。

6. モニタリングとレポート画面
概要: 実行された対策の効果を継続的に監視し、レポートを生成する画面。

リアルタイム監視パネル: 実行された対策の効果をリアルタイムで監視。要素：在庫レベル、生産スケジュール、コスト増減。
履歴データパネル: 過去の対策実行結果とその効果を表示。要素：実行日、効果（コスト削減、リードタイム短縮など）。
レポート生成パネル: 月次レポートの自動生成と共有。要素：レポート生成ボタン。
ダウンロード&共有パネル: レポートをダウンロードし、関係者に共有。要素：ダウンロードボタン（PDF、Excel）、共有ボタン（メール送信先入力）。",kodai.momma
"1.	Introduction
The profile pages for KOLs and brands showcase their identity and past collaborations, facilitating connections between brands and KOLs.

2. Objectives
	•	Enable KOLs to display their portfolio and audience metrics.
	•	Allow brands to present their identity and past collaborations.
	•	Support discovery and networking between KOLs and brands.

3. User Needs
	•	KOLs: Showcase their work, audience, and availability.
	•	Brands: Highlight their identity, ongoing campaigns, and collaboration history.

4. Functional Requirements
4.1 KOL Profile Page
	•	Profile Image: Upload and display a photo.
	•	Bio: Short biography section.
	•	Social Links: Add and display social media accounts.
	•	Audience Metrics: Show key demographics like age and location.
	•	Portfolio: Display past collaborations with images and descriptions.
	•	Ratings/Reviews: Show feedback from past collaborations.
	•	Contact Info: Fields for email, phone, etc.
	•	Availability: Indicate if open for new projects.

4.2 Company Brand Profile Page
	•	Brand Logo: Upload and display logo.
	•	Overview: Brief description of the brand.
	•	Industry: Select or input industry and focus areas.
	•	Campaigns: List current campaigns or job postings.
	•	Past Work: Showcase previous KOL partnerships.
	•	Contact Info: Provide communication channels.

4.3 Profile Management
	•	Edit Profile: Update profile information, images, and content.
	•	Privacy: Control visibility of profile sections.
	•	Analytics: Dashboard showing profile engagement.
	•	Drafts: Save updates as drafts before publishing.

4.4 Discovery and Networking
	•	Search/Filter: Find KOLs or brands by category or location.
	•	Recommendations: Suggest similar profiles.
	•	Connect: Option for brands and KOLs to follow each other.

	5.	Non-Functional Requirements
	•	Performance: Ensure quick loading and interaction.
	•	Security: Secure user data handling.
	•	Usability: Intuitive design for profile management.
	•	Scalability: Support growing user base.",Krystal LYL
